player_id,player_display_name,season_n,season_n1,breakout,touch_share,touches,carries,targets,yards_per_carry,ppr_per_touch,rush_yards_over_expected_per_att,has_ngs_rushing,avg_snap_pct,age,years_exp,draft_number,games_played,ppr_ppg,pos_rank,team_pos_rank,forty,vertical,broad_jump,cone,shuttle,combine_weight
00-0035685,David Montgomery,2021,2022,0,0.6026200873362445,276,225,51,3.7733333333333334,0.7065217391304348,-0.3581330398630339,1,0.7515384615384615,24.0,2.0,73.0,13,15.0,15.0,1.0,4.63,28.5,121.0,,,222.0
00-0035685,David Montgomery,2022,2023,0,0.5821256038647343,241,201,40,3.985074626865672,0.7373443983402489,-0.264050473836071,1,0.6475,25.0,3.0,73.0,16,11.10625,30.0,1.0,4.63,28.5,121.0,,,222.0
00-0035685,David Montgomery,2023,2024,0,0.4483394833948339,243,219,24,4.634703196347032,0.8526748971193415,0.2879986455639524,1,0.4882352941176471,26.0,4.0,73.0,14,14.8,15.0,2.0,4.63,28.5,121.0,,,222.0
00-0035700,Josh Jacobs,2019,2020,0,0.538,269,242,27,4.75206611570248,0.7122676579925651,0.668792155299012,1,0.5576923076923077,21.0,0.0,24.0,13,14.738461538461538,15.0,1.0,,,,,,220.0
00-0035700,Josh Jacobs,2020,2021,0,0.6666666666666666,318,273,45,3.901098901098901,0.7273584905660377,-0.0303891358583782,1,0.6126666666666666,22.0,1.0,24.0,15,15.42,13.0,1.0,,,,,,220.0
00-0035700,Josh Jacobs,2021,2022,0,0.5915789473684211,281,217,64,4.018433179723503,0.8042704626334519,-0.0634797407867363,1,0.635625,23.0,2.0,24.0,15,15.066666666666666,14.0,1.0,,,,,,220.0
00-0035700,Josh Jacobs,2022,2023,0,0.8364389233954451,404,340,64,4.8617647058823525,0.8126237623762377,0.474262444688384,1,0.7411764705882353,24.0,3.0,24.0,17,19.31176470588236,4.0,1.0,,,,,,220.0
00-0035700,Josh Jacobs,2023,2024,0,0.6391982182628062,287,233,54,3.4549356223175964,0.6310104529616725,-0.3739304610770163,1,0.7607692307692309,25.0,4.0,24.0,13,13.930769230769233,18.0,1.0,,,,,,220.0
00-0035806,Jamycal Hasty,2020,2021,0,0.09710743801652892,47,39,8,3.7948717948717947,0.6617021276595745,,0,0.17875,23.0,0.0,300.0,6,5.183333333333334,72.0,4.0,4.55,39.0,123.0,,4.03,205.0
00-0035806,Jamycal Hasty,2021,2022,0,0.12534818941504178,45,16,29,4.25,1.1444444444444444,,0,0.1928571428571428,24.0,1.0,300.0,10,5.15,79.0,3.0,4.55,39.0,123.0,,4.03,205.0
